codigo,promedio_acumulado_programa_principal(pam),promedio_semestral_programa_principal(pcp),creditos_inscritos,participacion_total,cluster,perfil
c100102lu4513v,3.46,3.28,20,9.0,1,Perfil 2
c100104di161284i,4.04,4.6,0,6.0,0,Perfil 1
c100121cr230145q,3.46,2.4,18,11.0,1,Perfil 2
c100134bu171332i,3.19,1.77,0,4.0,1,Perfil 2
c100147ca173v,4.32,4.49,0,12.0,0,Perfil 1
c100157nw267359d,4.13,4.5,0,10.0,0,Perfil 1
c10015au58233m,2.33,2.33,0,1.0,1,Perfil 2
c10015pc384396g,3.4,3.41,19,3.0,1,Perfil 2
c100169hu426189a,3.49,4.26,0,2.0,0,Perfil 1
c100200kz21387n,4.33,4.7,14,0.0,0,Perfil 1
c100237gk154437g,4.23,4.24,21,13.0,0,Perfil 1
c100238tz424428s,2.62,2.62,0,0.0,1,Perfil 2
c100239oi217491w,3.25,3.19,0,4.0,1,Perfil 2
c100244zd306281n,3.88,3.88,18,8.0,0,Perfil 1
c100251di390348o,4.12,4.12,18,5.0,0,Perfil 1
c100260bj11923p,4.01,4.04,20,16.0,0,Perfil 1
c100261nl427495z,4.33,4.8,0,5.0,0,Perfil 1
c100264sc70482h,3.96,4.7,0,0.0,0,Perfil 1
c100267fz374124d,3.56,3.5,20,0.0,1,Perfil 2
c100275cp94394x,4.54,4.9,0,13.0,0,Perfil 1
c100280tb379396e,3.83,4.8,0,4.0,0,Perfil 1
c100290ca467369d,3.91,3.74,0,19.0,0,Perfil 1
c100305lu320305n,3.41,3.41,14,0.0,1,Perfil 2
c100309qp479125q,3.35,2.91,18,0.0,1,Perfil 2
c100317mr1296y,2.89,2.89,18,2.0,1,Perfil 2
c100325gz371410n,0.59,0.59,17,0.0,1,Perfil 2
c100336di484226r,4.19,4.01,0,8.0,0,Perfil 1
c100366hz130118c,3.37,3.15,0,10.0,1,Perfil 2
c100377bn17596q,4.23,4.26,18,15.0,0,Perfil 1
c100389zv1744l,4.32,5.0,0,2.0,0,Perfil 1
c100397se17847l,4.05,4.73,0,11.0,0,Perfil 1
c100398sw338215g,3.89,4.97,33,0.0,0,Perfil 1
c1003ei409497v,4.51,4.55,0,19.0,0,Perfil 1
c100412bf6202o,4.08,4.16,21,16.0,0,Perfil 1
c100421gz111164k,4.05,3.96,25,16.0,0,Perfil 1
c100423jl431130f,3.09,3.13,0,2.0,1,Perfil 2
c100432qp363360x,2.92,2.92,0,1.0,1,Perfil 2
c100438jj73425j,4.34,4.41,17,8.0,0,Perfil 1
c100443zf118153v,4.45,3.66,0,0.0,0,Perfil 1
c100445bg270165q,3.95,4.7,13,0.0,0,Perfil 1
c10044il412451v,3.81,4.06,21,12.0,0,Perfil 1
c10044mm267339n,3.95,4.69,33,4.0,0,Perfil 1
c100458gf329476g,3.95,3.69,0,4.0,0,Perfil 1
c100472ip47376y,4.5,4.7,0,23.0,0,Perfil 1
c100478ja19289k,3.66,3.62,20,7.0,0,Perfil 1
c100481es35169e,2.79,2.91,0,8.0,1,Perfil 2
c100492xf361121o,3.15,3.21,0,3.0,1,Perfil 2
c100493iy6532i,3.14,3.49,16,2.0,1,Perfil 2
c10062if480168i,4.12,4.9,0,8.0,0,Perfil 1
c10063gs44445j,4.47,4.44,0,4.0,0,Perfil 1
c1006au46785h,4.13,4.65,0,44.0,0,Perfil 1
c10077rr326370g,3.89,4.21,0,27.0,0,Perfil 1
c10079cl314187n,4.23,4.53,18,1.0,0,Perfil 1
c10087tk85326x,4.13,2.8,0,11.0,0,Perfil 1
c10094ka284486h,3.78,3.88,21,56.0,0,Perfil 1
c10095hq191134x,4.2,4.9,0,26.0,0,Perfil 1
c10096wt37723d,2.93,2.34,0,3.0,1,Perfil 2
c10101fu285147r,4.5,4.65,0,7.0,0,Perfil 1
c10101jk244124z,4.24,4.28,0,25.0,0,Perfil 1
